Condition;Recording;Question;Reponse;Reponse_juste;Frequence mouvements du regard;Time on timer;Time on bonne reponse;Frequence mouvements du regard_9;Looked_Timer;Looked_Bonne_reponse;Time on enonce;Time on reponses;Proportion parcours linéaire;Proportion passage enonce reponse
c3;r7;q9;14;1;3.6345541337441087;0.0;0.0;3.6345541337441087;0.0;8.0;0.7254901960784313;0.058823529411764705;0.22549019607843138;0.058823529411764705
c3;r7;q10;12;0;3.0344402057383943;0.0506190823015295;0.043335761107064816;3.0344402057383943;1.0;7.0;0.6875;0.041666666666666664;0.18055555555555555;0.19444444444444445
c3;r8;q1;13;0;0.5859939600250247;0.045161290322580636;0.5496774193548387;0.5859939600250247;2.0;3.5;0.6875;0.09375;0.140625;0.09375
c3;r8;q2;9;1;3.620474190820083;0.0;0.4444444444444444;3.620474190820083;0.0;3.0;0.34782608695652173;0.2608695652173913;0.08695652173913043;0.2608695652173913
c3;r8;q3;11;1;2.99745630568271;0.1441578148710167;0.8679817905918058;2.99745630568271;1.0;0.5;0.7272727272727273;0.18181818181818182;0.18181818181818182;0.12121212121212122
c3;r8;q4;13;0;2.633898007097132;0.4581689029202841;0.8014996053670087;2.633898007097132;2.0;2.0;0.8203592814371258;0.03592814371257485;0.10778443113772455;0.059880239520958084
c3;r8;q5;13;1;3.871698975625885;0.0;0.0;3.871698975625885;0.0;3.5;0.6857142857142857;0.08571428571428572;0.11428571428571428;0.12857142857142856
c3;r8;q6;11;0;2.7809644189650764;0.5589541193882586;0.4119388258510113;2.7809644189650764;1.0;5.0;0.6597938144329897;0.061855670103092786;0.1958762886597938;0.14432989690721648
c3;r8;q7;15;0;5.296761509019719;0.9501612430372324;0.0;5.296761509019719;1.0;17.5;0.2826086956521739;0.018633540372670808;0.062111801242236024;0.2919254658385093
c3;r8;q8;15;1;6.370647454209642;0.0;0.22857142857142854;6.370647454209642;0.0;11.5;0.38636363636363635;0.045454545454545456;0.07575757575757576;0.22727272727272727
c3;r8;q9;14;1;4.344526930750642;0.0;0.4629993451211526;4.344526930750642;0.0;4.5;0.6140350877192983;0.05263157894736842;0.13157894736842105;0.12280701754385964
c3;r8;q10;12;1;2.6337860287591592;0.1546242774566474;0.10404624277456648;2.6337860287591592;1.0;6.0;0.6557377049180327;0.09836065573770492;0.11475409836065574;0.11475409836065574
c3;r9;q1;13;0;0.5322231987825904;0.0925925925925926;0.5634920634920635;0.5322231987825904;3.0;2.5;0.45652173913043476;0.13043478260869565;0.13043478260869565;0.21739130434782608
c3;r9;q2;9;1;3.3956272470563307;0.0;0.6377358490566037;3.3956272470563307;0.0;1.0;0.6;0.4;0.06666666666666667;0.2
c3;r9;q3;11;1;4.255621569703038;0.0;0.8649289099526066;4.255621569703038;0.0;1.0;0.7931034482758621;0.20689655172413793;0.1724137931034483;0.10344827586206896
c3;r9;q4;11;0;4.182590869485085;0.6727025803531009;0.4264373019465821;4.182590869485085;1.0;6.0;0.7741935483870968;0.03870967741935484;0.2064516129032258;0.10967741935483871
c3;r9;q5;13;1;4.079547868809135;0.0;0.9011689691817216;4.079547868809135;0.0;1.5;0.9047619047619048;0.09523809523809523;0.1111111111111111;0.047619047619047616
c3;r9;q6;10;0;3.711404547400897;0.0;0.5351530190239868;3.711404547400897;0.0;3.0;0.6933333333333334;0.08;0.25333333333333335;0.18666666666666668
c3;r9;q7;17;0;6.033103689806326;0.05578684429641965;0.0;6.033103689806326;1.0;0.0;0.4214876033057851;0.049586776859504134;0.04132231404958678;0.4214876033057851
c3;r9;q8;15;1;4.341884169845562;0.0;0.0;4.341884169845562;0.0;4.5;0.6212121212121212;0.09090909090909091;0.15151515151515152;0.24242424242424243
c3;r9;q9;14;1;3.7880456149381936;0.0;0.8555743243243243;3.7880456149381936;0.0;2.5;0.8918918918918919;0.08108108108108109;0.1891891891891892;0.02702702702702703
c3;r9;q10;11;0;3.2878106754475183;0.0;0.7154427645788337;3.2878106754475183;0.0;2.0;0.7830188679245284;0.05660377358490566;0.2830188679245283;0.14150943396226415
